endTime,artistName,trackName,msPlayed,genres
2022-12-07 20:38,Shankar-Ehsaan-Loy,"O Rangrez (From ""Bhaag Milkha Bhaag"")",351425,"['filmi', 'modern bollywood']"
2022-12-07 20:44,Shankar-Ehsaan-Loy,"O Rangrez (From ""Bhaag Milkha Bhaag"")",384866,"['filmi', 'modern bollywood']"
2022-12-07 20:49,A.R. Rahman,Tere Bina,309640,['filmi']
2022-12-07 20:54,Pritam,Phir Le Aya Dil - Reprise,305613,"['filmi', 'indian instrumental', 'modern bollywood']"
2022-12-07 21:01,Arijit Singh,Laal Ishq,387169,"['filmi', 'modern bollywood']"
2022-12-07 21:06,A.R. Rahman,Yeh Haseen Vadiyan Yeh Khula Aasman,320013,['filmi']
2022-12-07 21:06,Lana Del Rey,Blue Jeans,13076,"['art pop', 'pop']"
2022-12-07 21:07,A.R. Rahman,Heer,1898,['filmi']
2022-12-07 21:10,Vishal Chandrashekhar,Piriyadhey,208679,"['tamil pop', 'tollywood']"
2022-12-07 21:14,Harry Styles,Treat People With Kindness,1237,['pop']
2022-12-07 21:14,Vishal Chandrashekhar,Kurumugil,210362,"['tamil pop', 'tollywood']"
2022-12-07 21:14,Kishore Kumar,"Chhu Kar Mere Manko - From ""Yaarana""",1727,"['classic bollywood', 'filmi']"
2022-12-07 21:14,Lana Del Rey,Video Games,789,"['art pop', 'pop']"
2022-12-07 21:14,The Weeknd,"Earned It (Fifty Shades Of Grey) - From The ""Fifty Shades Of Grey"" Soundtrack",1301,"['canadian contemporary r&b', 'canadian pop', 'pop']"
2022-12-07 21:14,Lana Del Rey,Fuck it I love you,1216,"['art pop', 'pop']"
2022-12-07 21:14,The Weeknd,In Your Eyes,1173,"['canadian contemporary r&b', 'canadian pop', 'pop']"
2022-12-07 21:14,Frank Ocean,Moon River,938,"['lgbtq+ hip hop', 'neo soul']"
2022-12-07 21:14,Vishal Chandrashekhar,Kannukkulle,640,"['tamil pop', 'tollywood']"
2022-12-07 21:14,FINNEAS,I Lost a Friend,1130,"['alt z', 'la indie', 'pop', 'pov: indie']"
2022-12-07 21:14,A.R. Rahman,Ay Hairathe,661,['filmi']
2022-12-07 21:14,Lana Del Rey,Blue Jeans,640,"['art pop', 'pop']"
2022-12-07 21:20,A.R. Rahman,Ay Hairathe,369120,['filmi']
2022-12-07 22:01,Monty Sharma,Yoon Shabnami,81345,"['filmi', 'modern bollywood']"
2022-12-07 22:04,Jasleen Royal,Kho Gaye Hum Kahan,210282,"['desi pop', 'filmi', 'indian singer-songwriter', 'modern bollywood']"
2022-12-07 22:10,Rahat Fateh Ali Khan,Surili Akhiyon Wale,331746,"['classic pakistani pop', 'filmi', 'modern bollywood', 'qawwali', 'sufi']"
2022-12-07 22:11,Tanishk Bagchi,"Tip Tip (From ""Sooryavanshi"")",895,"['desi pop', 'filmi', 'modern bollywood']"
2022-12-07 22:11,Tanishk Bagchi,"Aafat (From ""Liger"")",853,"['desi pop', 'filmi', 'modern bollywood']"
2022-12-07 22:11,Tanishk Bagchi,Jugjugg Jeeyo,4074,"['desi pop', 'filmi', 'modern bollywood']"
2022-12-07 22:11,Pritam,"Bhool Bhulaiyaa 2 Title Track (From ""Bhool Bhulaiyaa 2"")",2410,"['filmi', 'indian instrumental', 'modern bollywood']"
2022-12-07 22:11,Pritam,Khairiyat,38740,"['filmi', 'indian instrumental', 'modern bollywood']"
2022-12-07 22:11,Vishal-Shekhar,"Alcoholia (From ""Vikram Vedha"")",5909,"['filmi', 'modern bollywood']"
2022-12-07 22:11,Nakash Aziz,"Ra Ra Rakkamma (From ""Vikrant Rona"")",1642,['tollywood']
2022-12-07 22:11,Falguni Pathak,Vasaladi,191,"['filmi', 'modern bollywood']"
2022-12-07 22:11,Yo Yo Honey Singh,Melody Roja,2133,"['filmi', 'hindi hip hop', 'modern bollywood']"
2022-12-07 22:11,Shreya Ghoshal,"Boom Padi (From ""Maja Ma"")",575,"['filmi', 'modern bollywood']"
2022-12-07 22:11,Badshah,Paani Paani,2005,"['desi hip hop', 'desi trap', 'filmi', 'modern bollywood']"
2022-12-07 22:13,Lijo George-Dj Chetas,Kesariyo Rang,40746,"['desi pop', 'modern bollywood']"
2022-12-07 22:16,Harnoor,Moonlight,704,['punjabi pop']
2022-12-07 22:16,Vicky,Top Notch Gabru,4988,"[""british children's music"", ""children's music"", 'nursery']"
2022-12-07 22:16,Zehr Vibe,Distance Love,210681,['punjabi pop']
2022-12-07 22:16,Amrit Maan,Sira E Hou,341,['punjabi pop']
2022-12-07 22:16,Prem Dhillon,Nah They Can’t,1856,['punjabi pop']
2022-12-07 22:16,Sidhu Moose Wala,These Days (feat. Bohemia),1066,"['desi hip hop', 'pakistani hip hop', 'punjabi hip hop', 'punjabi pop']"
2022-12-07 22:59,FKJ,Vibin' Out,311837,"['filter house', 'indie soul']"
2022-12-07 23:12,The Lumineers,Sleep On The Floor,211851,"['folk-pop', 'modern rock', 'stomp and holler']"
2022-12-07 23:16,dhruv,airplane thoughts,210405,['nyc pop']
2022-12-07 23:17,.clouds,cozy mornings,64273,['sleep']
2022-12-07 23:22,Lana Del Rey,Cinnamon Girl,300683,"['art pop', 'pop']"
2022-12-07 23:23,Lana Del Rey,Video Games,96534,"['art pop', 'pop']"
2022-12-08 00:50,The Lumineers,Sleep On The Floor,81923,"['folk-pop', 'modern rock', 'stomp and holler']"
2022-12-08 00:54,Sam Wills,Traingazing,214159,['uk contemporary r&b']
2022-12-08 00:58,FKJ,Skyline,249847,"['filter house', 'indie soul']"
2022-12-08 01:01,dhruv,double take,171743,['nyc pop']
2022-12-08 01:03,dhruv,moonlight,159130,['nyc pop']
2022-12-08 01:08,Masego,Tadow,301893,"['alternative r&b', 'indie soul']"
2022-12-08 01:12,Masego,Sunday Vibes,226168,"['alternative r&b', 'indie soul']"
2022-12-08 01:16,ZAYN,River Road,236040,"['pop', 'uk pop']"
2022-12-08 01:19,Sasha Alex Sloan,Dancing With Your Ghost,197732,['alt z']
2022-12-08 01:23,FKJ,Ylang Ylang,213000,"['filter house', 'indie soul']"
